Data/Hora,Temperatura (°C),Status Umidade
24/06/2025 19:06:25,11.59,Ideal
24/06/2025 19:10:16,11.59,Ideal
24/06/2025 19:39:21,9.01,Alta
24/06/2025 19:47:07,9.01,Alta
